iter	Passed	Remaining
0	2	281
1	5	260
2	7	258
3	10	254
4	13	262
5	16	259
6	19	259
7	22	255
8	24	250
9	28	253
10	30	248
11	33	242
12	35	240
13	38	238
14	41	234
15	43	230
16	46	226
17	48	222
18	51	220
19	54	216
20	56	212
21	58	209
22	61	205
23	63	202
24	67	201
25	69	198
26	71	194
27	74	191
28	76	187
29	78	184
30	81	181
31	84	179
32	86	176
33	89	173
34	91	170
35	94	167
36	98	167
37	100	163
38	102	160
39	105	158
40	107	154
41	110	152
42	113	150
43	116	148
44	119	146
45	122	143
46	126	142
47	128	139
48	131	136
49	133	133
50	135	130
51	138	127
52	139	123
53	142	120
54	144	118
55	146	115
56	148	112
57	151	109
58	153	106
59	155	103
60	158	101
61	160	98
62	162	95
63	164	92
64	166	89
65	169	87
66	172	84
67	174	82
68	176	79
69	178	76
70	181	74
71	183	71
72	186	69
73	189	66
74	191	63
75	194	61
76	196	58
77	198	56
78	201	53
79	203	50
80	205	48
81	208	45
82	210	43
83	212	40
84	214	37
85	217	35
86	219	32
87	221	30
88	224	27
89	226	25
90	228	22
91	231	20
92	233	17
93	235	15
94	238	12
95	240	10
96	242	7
97	245	5
98	247	2
99	250	0
