iter	Passed	Remaining
0	446	446387
1	452	225592
2	457	152122
3	461	114831
4	468	93271
5	472	78287
6	475	67414
7	478	59287
8	480	52929
9	511	50668
10	515	46312
11	520	42825
12	551	41882
13	554	39045
14	557	36581
15	559	34432
16	562	32529
17	565	30830
18	593	30632
19	598	29311
20	600	28007
21	603	26827
22	608	25847
23	615	25010
24	619	24149
25	628	23546
26	631	22755
27	643	22336
28	645	21629
29	648	20975
30	652	20380
31	658	19907
32	660	19361
33	663	18847
34	698	19247
35	707	18948
36	758	19738
37	761	19277
38	770	18984
39	774	18596
40	778	18201
41	786	17943
42	789	17567
43	792	17213
44	798	16956
45	801	16630
46	804	16322
47	807	16020
48	810	15731
49	815	15500
50	818	15238
51	821	14981
52	824	14734
53	830	14540
54	835	14351
55	864	14571
56	867	14345
57	872	14163
58	878	14015
59	882	13822
60	885	13636
61	968	14645
62	1024	15241
63	1028	15040
64	1031	14835
65	1035	14655
66	1051	14648
67	1061	14545
68	1064	14367
69	1067	14180
70	1072	14031
71	1074	13852
72	1077	13684
73	1079	13514
74	1081	13344
75	1084	13182
76	1089	13056
77	1091	12904
78	1094	12759
79	1096	12613
80	1099	12472
81	1104	12369
82	1106	12222
83	1109	12094
84	1111	11965
85	1114	11840
86	1117	11732
87	1120	11611
88	1122	11491
89	1124	11372
90	1126	11254
91	1128	11140
92	1133	11055
93	1166	11245
94	1169	11139
95	1172	11045
96	1176	10949
97	1183	10892
98	1185	10789
99	1187	10689
100	1189	10591
101	1192	10497
102	1194	10405
103	1198	10323
104	1200	10231
105	1202	10139
106	1204	10049
107	1206	9963
108	1208	9878
109	1212	9807
110	1214	9723
111	1216	9642
112	1217	9560
113	1220	9482
114	1221	9403
115	1223	9327
116	1227	9263
117	1229	9190
118	1231	9116
119	1233	9048
120	1235	8978
121	1237	8905
122	1239	8836
123	1243	8782
124	1245	8717
125	1247	8653
126	1249	8586
127	1251	8524
128	1253	8461
129	1255	8400
130	1258	8347
131	1260	8291
132	1263	8234
133	1265	8176
134	1267	8119
135	1269	8064
136	1273	8023
137	1275	7970
138	1278	7920
139	1280	7868
140	1282	7816
141	1284	7759
142	1288	7720
143	1290	7670
144	1292	7619
145	1294	7570
146	1296	7521
147	1298	7473
148	1300	7426
149	1303	7386
150	1305	7339
151	1307	7293
152	1309	7248
153	1311	7202
154	1313	7158
155	1315	7118
156	1318	7082
157	1320	7038
158	1322	6995
159	1324	6953
160	1325	6908
161	1327	6866
162	1329	6828
163	1333	6797
164	1335	6757
165	1337	6718
166	1339	6679
167	1340	6640
168	1343	6604
169	1348	6581
170	1350	6547
171	1352	6510
172	1354	6474
173	1356	6439
174	1358	6406
175	1362	6380
176	1389	6461
177	1391	6427
178	1395	6400
179	1397	6366
180	1399	6334
181	1401	6300
182	1403	6265
183	1405	6232
184	1407	6199
185	1410	6171
186	1412	6140
187	1414	6108
188	1416	6076
189	1418	6045
190	1419	6014
191	1422	5984
192	1425	5961
193	1427	5931
194	1429	5901
195	1431	5872
196	1433	5842
197	1435	5813
198	1439	5795
199	1441	5767
200	1444	5740
201	1445	5711
202	1447	5683
203	1449	5655
204	1451	5628
205	1455	5608
206	1457	5582
207	1459	5556
208	1461	5530
209	1463	5503
210	1465	5478
211	1467	5453
212	1470	5434
213	1473	5411
214	1475	5386
215	1477	5361
216	1479	5337
217	1480	5312
218	1484	5294
219	1486	5271
220	1488	5247
221	1490	5223
222	1492	5199
223	1494	5176
224	1496	5153
225	1500	5138
226	1502	5115
227	1504	5092
228	1506	5070
229	1507	5048
230	1509	5025
231	1511	5003
232	1516	4991
233	1518	4971
234	1520	4949
235	1522	4928
236	1524	4907
237	1526	4885
238	1530	4874
239	1533	4855
240	1535	4834
241	1537	4814
242	1538	4794
243	1540	4774
244	1545	4761
245	1547	4741
246	1549	4722
247	1551	4703
248	1553	4684
249	1554	4664
250	1556	4645
251	1560	4632
252	1562	4613
253	1564	4595
254	1566	4576
255	1568	4557
256	1571	4542
257	1575	4529
258	1577	4512
259	1579	4494
260	1580	4476
261	1582	4458
262	1584	4440
263	1586	4423
264	1591	4412
265	1631	4500
266	1633	4484
267	1636	4470
268	1639	4455
269	1644	4445
270	1647	4431
271	1649	4416
272	1654	4405
273	1658	4394
274	1661	4381
275	1664	4366
276	1671	4363
277	1677	4357
